OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUNDED,DATAQUALITY,FLAGS,SHAPE_Length
2075,"22932,22926,22928,22931,22930,22929,22927,22925",SW TRENTON ST,118,N,2017/12/19 13:45:00+00,531,707,7108,6810,7100,Study,,2992.57254607667
2076,19217,NW MARKET ST,1556,N,2017/09/21 12:15:00+00,1476,1514,21978,21491,22000,Study,,719.950227257856
2077,9319,BOREN AVE,933,B,2017/10/04 11:30:00+00,1533,1170,18119,17854,18100,Study,,425.540849957426
2078,"23788,23790,23795,23785,23792,23784,23791,23786,23793,23789,23794,23787",WEST VIEWMONT WAY W,1368,N,2017/11/02 11:15:00+00,122,143,1657,1619,1700,Study,,6018.57758743558
2079,"1925,1924,1923",14TH AVE S,525,N,2017/11/15 10:00:00+00,271,359,3905,3539,3900,Study,,1630.4950226167
2080,"10820,10818,10821,10817,10816,10819,10815",HARBOR AVE SW,503,N,2017/07/24 10:00:00+00,1010,1301,17728,19284,17700,Study,,7269.34766951294
2081,"4757,4252,23777,23778","30TH AVE W,28TH AVE W,W TILDEN ST",1359,N,2017/12/12 11:30:00+00,93,142,1379,1364,1400,Study,,1321.21859222553
2082,3719,25TH AVE NE,1424,N,2017/11/02 12:15:00+00,1426,1584,20383,19873,20400,Study,,560.713939434761
2083,"18082,18083",NE RAVENNA BLVD,1676,N,2018/01/10 11:15:00+00,244,376,4033,4034,4000,Study,,1366.36298361015
2084,"21002,21003",S ORCAS ST,252,N,2018/01/11 14:30:00+00,159,200,1753,1785,1800,Study,,911.515238106853
2085,"15644,15642,15643,15646,15645",N 50TH ST,1526,N,2018/02/01 11:15:00+00,804,1074,12456,12218,12500,Study,,2419.3334216698
2086,8675,AIRPORT WAY S,408,N,2017/10/03 10:45:00+00,2454,1504,19841,19596,19800,Study,,357.557653595483
2087,"8212,8213,8211",7TH AVE S,537,N,2018/01/22 08:30:00+00,943,547,7882,7040,7900,Study,,1108.2365523487
2088,"18988,18987,159001,18986,18989",NW 85TH ST,1788,N,2017/07/19 12:15:00+00,418,562,7255,7569,7300,Study,,1311.98315527529
2089,"14078,14077,14080,14079,14081",EAST GREEN LAKE WAY N,1665,N,2017/12/07 11:45:00+00,1107,1140,12342,12026,12300,Study,,2214.46222576798
2090,"14732,14733,23594,23593,23595,23592,2667,2669,2668,14322,14323","E ROANOKE ST,WEST MONTLAKE PL E,19TH AVE E,E LYNN ST",1258,N,2017/11/29 09:00:00+00,319,333,3541,3447,3500,Study,,2890.28831718249
2091,"14641,14642",E PINE ST,953,N,2018/01/23 11:45:00+00,308,351,4347,4200,4300,Study,,405.100486763113
2092,"14339,14338,14337,14340,9444","E MADISON ST,BROADWAY",843,N,2018/02/13 08:45:00+00,1387,1497,21312,20414,21300,Study,,803.683601522549
2093,"8526,8525",9TH AVE,1023,Y,2014/03/05 00:00:00+00,,,4031,3566,4000,Study - 13-15,,830.913525585887
2094,12600,ROOSEVELT WAY NE,1510,N,1970/01/01 00:00:00+00,,,12000,,12000,Estimate,,663.745198338029
2095,9332,BOREN AVE S,598,N,1970/01/01 00:00:00+00,,,13500,,13500,Estimate,,222.544563392976
2096,10008,DENNY WAY,1058,B,1970/01/01 00:00:00+00,,,25000,,25000,Estimate,,306.794056271647
2097,9959,DELRIDGE WAY SW,356,N,1970/01/01 00:00:00+00,,,17000,,17000,Estimate,,637.988355687254
2098,12609,ROOSEVELT WAY NE,1599,N,2013/10/02 00:00:00+00,,,10775,10349,10800,Study - 13-15,,92.6814562128502
2099,7887,6TH AVE,920,Y,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,179.809022503934
2100,22840,SW SPOKANE ST,400,N,1970/01/01 00:00:00+00,,,19500,,19500,Study - 13-15,,552.218859505529
2101,"9960,9961",DELRIDGE WAY SW,348,N,2015/04/08 00:00:00+00,,,13965,12877,14000,Study - 13-15,,1320.06450651864
2102,"20811,20808,20809,20810,20812",S MCCLELLAN ST,440,N,1970/01/01 00:00:00+00,,,12000,,12000,Estimate,,1277.13588027623
2103,"5326,5327,5324,5325",34TH AVE W,1360,N,2015/07/30 00:00:00+00,,,4664,4518,4700,Study - 13-15,,2638.64275672335
2104,"9436,9435",BROADWAY,707,N,1970/01/01 00:00:00+00,,,9500,,9500,Estimate,,613.486319756952
2105,"10073,10072,10071,10074",DEXTER AVE N,1118,N,2014/01/23 00:00:00+00,,,11860,10840,11900,Study - 13-15,,1704.79112370651
2106,13522,WESTERN AVE W,1098,N,1970/01/01 00:00:00+00,,,35000,,35000,Estimate,,203.426443433819
2107,"11482,11481,11484,11485,11483",M L KING JR WAY,740,N,2015/05/12 00:00:00+00,,,17269,15958,17300,Study - 13-15,,2326.59205968738
2108,"13544,13542,13543",WESTLAKE AVE N,1279,N,1970/01/01 00:00:00+00,,,25000,,25000,Estimate,,2037.81298243268
2109,"10015,10017,10016",DENNY WAY,1046,B,2015/02/03 00:00:00+00,,,33282,32655,33300,Study - 13-15,,780.323346853143
2110,23611,W NICKERSON ST,1320,N,1970/01/01 00:00:00+00,,,18000,,18000,Estimate,,463.948189161778
2111,"18038,18039,18040,18041,15295,15297,15296,16140,16138,16141,16139,16137,16135,16136","NE PACIFIC ST,N 34TH ST,N PACIFIC ST",1374,N,2015/10/20 00:00:00+00,,,11227,10181,11200,Study - 13-15,,4571.34994793659
2112,8280,8TH AVE,882,Y,1970/01/01 00:00:00+00,,,5000,,5000,Estimate,,426.045107701774
2113,12041,OLIVE WAY,846,Y,1970/01/01 00:00:00+00,,,1500,,1500,Estimate,,328.00078322095
2114,"10665,10662,10664,10666,10663,12764,5003","GOLDEN GARDENS DR NW,SEAVIEW PL NW,32ND AVE NW",1793,N,2014/05/22 00:00:00+00,,,2997,3101,3000,Study - 13-15,,5464.80953205573
2115,"9565,9563,9564",CALIFORNIA AVE SW,234,N,1970/01/01 00:00:00+00,,,13000,,13000,Estimate,,660.508284060165
2116,"17253,17251,17255,17252,17254",NE 65TH ST,1636,N,1970/01/01 00:00:00+00,,,13500,,13500,Estimate,,765.269453764268
2117,7880,6TH AVE,798,Y,1970/01/01 00:00:00+00,,,15000,,15000,Estimate,,425.843350412456
